"Time","C ( block=2)"
0,0
2,5.81541e-09
4,3.4548e-06
6,0.000150642
8,0.00179565
10,0.00986403
12,0.0327807
14,0.0773842
16,0.143602
18,0.224104
20,0.308099
22,0.385662
24,0.450264
26,0.499176
28,0.532798
30,0.553449
32,0.564287
34,0.568533
36,0.569064
38,0.568184
40,0.567593
42,0.568454
44,0.571485
46,0.577046
48,0.585221
50,0.595866
52,0.608691
54,0.623331
56,0.639373
58,0.656392
60,0.673981
62,0.691777
64,0.709472
66,0.72682
68,0.743636
70,0.759791
72,0.775206
74,0.78984
76,0.803683
78,0.816741
80,0.829041
82,0.840613
84,0.851495
86,0.861724
88,0.871336
90,0.880368
92,0.888855
94,0.896827
96,0.904312
98,0.911336
100,0.917922
102,0.924094
104,0.929873
106,0.935279
108,0.940333
110,0.945053
112,0.949455
114,0.953558
116,0.957379
118,0.960934
120,0.964239
122,0.967309
124,0.97016
126,0.972805
128,0.975257
130,0.977529
132,0.979634
134,0.981582
136,0.983384
138,0.985052
140,0.986594
142,0.988021
144,0.98934
146,0.99056
148,0.991688
150,0.992732
152,0.993698
154,0.994592
156,0.995419
158,0.996186
160,0.996897
162,0.997556
164,0.998167
166,0.998735
168,0.999263
170,0.999754
